epoch,train_loss,val_loss,val_auc,lr,elapsed_s
1,0.703811,0.683425,0.587592,0.00003333,19.5
2,0.684568,0.718178,0.592911,0.00006667,8.4
3,0.696790,0.679297,0.593947,0.00010000,11.6
4,0.678442,0.677720,0.599124,0.00009989,7.9
5,0.684371,0.675744,0.603786,0.00009955,9.2
6,0.681468,0.723935,0.613697,0.00009900,9.0
7,0.671397,0.707979,0.627454,0.00009822,8.2
8,0.666062,0.665885,0.646763,0.00009723,7.9
9,0.654368,0.658711,0.660752,0.00009603,8.0
10,0.647987,0.666026,0.684843,0.00009463,10.5
11,0.643414,0.642989,0.708465,0.00009302,10.8
12,0.631027,0.642636,0.713307,0.00009122,10.4
13,0.624940,0.623705,0.710286,0.00008924,7.9
14,0.615369,0.617501,0.722878,0.00008708,11.1
15,0.615077,0.607901,0.733895,0.00008476,8.2
16,0.608532,0.610157,0.727802,0.00008228,13.6
17,0.602133,0.608243,0.731602,0.00007966,8.8
18,0.600745,0.627098,0.736943,0.00007690,10.8
19,0.597179,0.609457,0.737911,0.00007403,10.0
20,0.595051,0.638299,0.733191,0.00007105,8.1
21,0.591810,0.604436,0.741031,0.00006797,11.6
22,0.581066,0.612274,0.736348,0.00006481,8.3
23,0.577516,0.599771,0.745901,0.00006159,7.9
24,0.572321,0.605426,0.742922,0.00005832,7.9
25,0.569069,0.649516,0.744694,0.00005500,13.9
26,0.568741,0.602171,0.745743,0.00005167,9.2
27,0.560592,0.599677,0.752342,0.00004833,7.6
28,0.560052,0.601677,0.746085,0.00004500,8.0
29,0.549457,0.611336,0.743122,0.00004168,11.0
30,0.547757,0.622959,0.744927,0.00003841,8.2
31,0.542148,0.608758,0.745911,0.00003519,13.6
32,0.544371,0.607033,0.748440,0.00003203,14.4
33,0.538004,0.602361,0.744895,0.00002895,9.1
34,0.532381,0.612161,0.747196,0.00002597,10.9
35,0.534346,0.621509,0.744062,0.00002310,8.6
36,0.526870,0.628979,0.748578,0.00002034,8.6
37,0.522539,0.619046,0.743778,0.00001772,7.8
