epoch,train_loss,val_loss,val_auc,lr_enc,lr_probe,elapsed_s
1,0.709964,0.680673,0.595570,0.00000167,0.00003333,1777.6
2,0.686529,0.672696,0.622369,0.00000333,0.00006667,1781.0
3,0.671646,0.726089,0.677980,0.00000500,0.00010000,1783.0
4,0.640704,0.627832,0.739424,0.00000497,0.00009949,1784.3
5,0.605045,0.555348,0.792275,0.00000490,0.00009797,1785.8
6,0.552449,0.550343,0.798637,0.00000477,0.00009548,1786.5
7,0.555021,0.558079,0.794801,0.00000460,0.00009206,1788.2
8,0.523083,0.567663,0.795253,0.00000439,0.00008779,1788.3
9,0.510399,0.581091,0.808531,0.00000414,0.00008274,1788.5
10,0.497061,0.532830,0.807329,0.00000385,0.00007703,1788.1
11,0.494581,0.539624,0.812585,0.00000354,0.00007077,1787.5
12,0.494129,0.537221,0.810108,0.00000320,0.00006409,1772.4
13,0.497239,0.566412,0.805554,0.00000286,0.00005712,1773.2
14,0.458026,0.530125,0.810264,0.00000250,0.00005000,1782.4
15,0.464520,0.524661,0.814656,0.00000214,0.00004288,1780.3
16,0.445397,0.549050,0.807853,0.00000180,0.00003591,1777.6
17,0.433702,0.540411,0.801808,0.00000146,0.00002923,1776.9
18,0.414933,0.547652,0.806576,0.00000115,0.00002297,1771.3
19,0.411914,0.594313,0.799553,0.00000086,0.00001726,1768.1
20,0.403284,0.568558,0.793206,0.00000061,0.00001221,1768.9
