epoch,train_loss,train_auc,val_loss,val_auc,lr,elapsed_s
1,0.684547,0.576252,0.674866,0.664432,0.00003333,98.7
2,0.665940,0.636568,0.644650,0.675785,0.00006667,98.4
3,0.654991,0.659220,0.660939,0.678723,0.00010000,98.8
4,0.652717,0.660270,0.644182,0.681544,0.00009997,101.0
5,0.646467,0.672892,0.656884,0.684639,0.00009990,99.6
6,0.635857,0.687707,0.638668,0.692021,0.00009976,98.4
7,0.638135,0.687003,0.639804,0.697209,0.00009958,98.3
8,0.634431,0.691949,0.633796,0.707709,0.00009935,97.7
9,0.632197,0.695716,0.633526,0.715983,0.00009906,97.9
10,0.628019,0.700019,0.610452,0.727628,0.00009872,121.3
11,0.618785,0.713547,0.618408,0.736478,0.00009833,238.7
12,0.617875,0.714027,0.597345,0.748094,0.00009789,239.0
13,0.625903,0.710455,0.604334,0.745921,0.00009740,238.3
14,0.604618,0.729760,0.642694,0.754899,0.00009686,235.5
15,0.608149,0.728379,0.585548,0.759768,0.00009627,234.5
16,0.589408,0.750051,0.579517,0.769320,0.00009563,226.5
17,0.589974,0.746417,0.597120,0.772574,0.00009495,61.4
18,0.575578,0.763512,0.583192,0.779235,0.00009421,21.5
19,0.596466,0.741393,0.610631,0.778103,0.00009344,19.0
20,0.576210,0.762370,0.590346,0.780936,0.00009261,10.5
21,0.574144,0.765582,0.572959,0.781192,0.00009174,8.9
22,0.562552,0.775194,0.568385,0.782135,0.00009083,12.1
23,0.571176,0.767410,0.560888,0.785320,0.00008987,13.4
24,0.570755,0.770227,0.577465,0.783731,0.00008887,11.1
25,0.557085,0.781601,0.574290,0.788952,0.00008784,15.9
26,0.556846,0.783377,0.558979,0.787987,0.00008676,11.6
27,0.553130,0.785027,0.552873,0.790775,0.00008564,12.0
28,0.557794,0.782595,0.577820,0.791749,0.00008449,14.3
29,0.545475,0.793009,0.575999,0.790248,0.00008330,20.3
30,0.543143,0.795875,0.553992,0.791365,0.00008207,10.4
31,0.535734,0.800401,0.555515,0.790359,0.00008081,13.7
32,0.538969,0.797673,0.563720,0.790931,0.00007952,12.2
33,0.547333,0.790802,0.559312,0.790008,0.00007820,16.4
34,0.531230,0.804614,0.565138,0.790909,0.00007685,13.9
35,0.532406,0.804046,0.562204,0.792990,0.00007547,12.3
36,0.519848,0.814294,0.564577,0.789670,0.00007406,12.6
37,0.523586,0.811404,0.581485,0.792966,0.00007263,25.8
38,0.520684,0.811838,0.613953,0.791907,0.00007117,22.0
39,0.532607,0.802312,0.565239,0.788624,0.00006969,15.6
40,0.531328,0.803760,0.569136,0.792586,0.00006820,13.4
41,0.512696,0.818599,0.574052,0.789136,0.00006668,10.0
42,0.511178,0.819843,0.564454,0.782449,0.00006514,11.1
43,0.512562,0.818806,0.561913,0.787407,0.00006359,9.2
44,0.505684,0.825477,0.593158,0.783873,0.00006203,17.5
45,0.499207,0.828615,0.571102,0.775279,0.00006045,17.3
46,0.502502,0.826464,0.580450,0.780888,0.00005886,17.9
47,0.492766,0.833163,0.583636,0.778799,0.00005726,11.3
48,0.505135,0.825841,0.577150,0.773038,0.00005566,14.8
49,0.491733,0.833830,0.586205,0.778601,0.00005404,8.4
50,0.488945,0.836272,0.588007,0.762639,0.00005243,22.7
51,0.488365,0.835591,0.596959,0.775505,0.00005081,8.4
52,0.486396,0.837770,0.574262,0.774857,0.00004919,8.6
53,0.483137,0.839005,0.582523,0.780682,0.00004757,14.3
54,0.479411,0.842655,0.592965,0.765328,0.00004596,11.0
55,0.474459,0.846239,0.597369,0.770683,0.00004434,9.9
