epoch,train_loss,train_auc,val_loss,val_auc,lr,elapsed_s
1,0.698469,0.506901,0.703327,0.622459,0.00003333,298.5
2,0.694769,0.508963,0.695739,0.625057,0.00006667,303.8
3,0.693284,0.517518,0.694629,0.623920,0.00010000,302.1
4,0.694093,0.508372,0.691097,0.623718,0.00009989,297.8
5,0.694290,0.514822,0.692588,0.625205,0.00009955,299.8
6,0.693478,0.517973,0.691473,0.623920,0.00009900,304.2
7,0.691559,0.551819,0.685366,0.624326,0.00009822,296.0
8,0.684521,0.575936,0.667862,0.631408,0.00009723,300.8
9,0.670859,0.621458,0.669888,0.644234,0.00009603,298.0
10,0.673933,0.614206,0.662953,0.648634,0.00009463,298.6
11,0.663601,0.639050,0.660008,0.648864,0.00009302,298.9
12,0.656742,0.654254,0.657660,0.648832,0.00009122,302.7
13,0.662308,0.641580,0.679749,0.649460,0.00008924,298.6
14,0.656355,0.654509,0.668878,0.648926,0.00008708,298.0
15,0.658939,0.648572,0.657002,0.651151,0.00008476,299.1
16,0.656765,0.652844,0.668573,0.653886,0.00008228,301.3
17,0.657132,0.656204,0.663754,0.651996,0.00007966,293.0
18,0.654619,0.657316,0.658975,0.653138,0.00007690,300.6
19,0.652792,0.661039,0.685662,0.653308,0.00007403,298.2
20,0.651494,0.662908,0.678588,0.653462,0.00007105,297.4
21,0.653650,0.659975,0.658140,0.653724,0.00006797,295.4
22,0.649135,0.667380,0.661244,0.655417,0.00006481,299.2
23,0.655182,0.657675,0.661331,0.654189,0.00006159,297.7
24,0.655021,0.657839,0.658052,0.655125,0.00005832,295.1
25,0.648349,0.669269,0.654775,0.655895,0.00005500,298.4
26,0.645836,0.673186,0.659978,0.656446,0.00005167,299.3
27,0.648654,0.668643,0.654796,0.656052,0.00004833,306.4
28,0.650532,0.666047,0.654119,0.657166,0.00004500,300.8
29,0.649644,0.667061,0.654860,0.657614,0.00004168,299.5
30,0.647470,0.671185,0.654225,0.657502,0.00003841,297.2
31,0.644310,0.674788,0.657568,0.656274,0.00003519,296.6
32,0.643904,0.676219,0.653689,0.658129,0.00003203,302.9
33,0.645933,0.672916,0.653048,0.657406,0.00002895,302.8
34,0.643563,0.677930,0.654747,0.657930,0.00002597,302.7
35,0.645402,0.675011,0.653211,0.658050,0.00002310,298.2
36,0.643288,0.677693,0.655557,0.657906,0.00002034,304.2
37,0.643345,0.677482,0.654138,0.658449,0.00001772,307.8
38,0.644002,0.675534,0.651683,0.658371,0.00001524,298.2
39,0.642433,0.678525,0.653908,0.658619,0.00001292,241.5
40,0.642298,0.678671,0.651782,0.658789,0.00001076,196.1
41,0.642773,0.677970,0.651958,0.658683,0.00000878,167.8
42,0.641319,0.679978,0.652816,0.658409,0.00000698,166.9
43,0.641564,0.680040,0.653468,0.658341,0.00000537,165.2
44,0.642138,0.678827,0.652299,0.658533,0.00000397,165.3
45,0.640575,0.681861,0.652478,0.658755,0.00000277,165.8
46,0.640648,0.680951,0.652121,0.658791,0.00000178,166.5
47,0.639875,0.682349,0.652004,0.658821,0.00000100,168.1
48,0.641607,0.679155,0.651930,0.658815,0.00000045,164.0
49,0.641660,0.679163,0.651919,0.658809,0.00000011,166.7
50,0.641109,0.680231,0.651922,0.658815,0.00000000,166.8
