epoch,train_loss,val_loss,val_auc,lr,elapsed_s
1,0.703337,0.684730,0.585377,0.00003333,18.2
2,0.687001,0.695792,0.593003,0.00006667,9.0
3,0.689731,0.691070,0.595710,0.00010000,7.6
4,0.675915,0.677290,0.601801,0.00009989,16.4
5,0.682137,0.677030,0.611470,0.00009955,10.0
6,0.669251,0.671151,0.626181,0.00009900,6.7
7,0.674705,0.678708,0.633793,0.00009822,7.5
8,0.667282,0.688116,0.644742,0.00009723,8.9
9,0.655644,0.643590,0.679563,0.00009603,11.2
10,0.641981,0.643901,0.702564,0.00009463,6.9
11,0.640392,0.664182,0.700433,0.00009302,11.3
12,0.628228,0.628248,0.710058,0.00009122,6.0
13,0.625177,0.622355,0.714060,0.00008924,18.9
14,0.624663,0.620891,0.714634,0.00008708,6.3
15,0.622114,0.621202,0.720559,0.00008476,6.2
16,0.614382,0.631815,0.718160,0.00008228,18.4
17,0.612356,0.614314,0.726456,0.00007966,6.8
18,0.615547,0.618169,0.727328,0.00007690,9.2
19,0.611377,0.618220,0.722378,0.00007403,7.1
20,0.603952,0.612243,0.731936,0.00007105,17.4
21,0.603112,0.620340,0.730105,0.00006797,8.1
22,0.599839,0.622689,0.711484,0.00006481,6.3
23,0.596826,0.607736,0.736530,0.00006159,6.6
24,0.593088,0.611737,0.730237,0.00005832,13.4
25,0.590939,0.631837,0.740110,0.00005500,14.8
26,0.587656,0.614469,0.734421,0.00005167,6.5
27,0.581733,0.604886,0.739706,0.00004833,18.0
28,0.574252,0.602487,0.743514,0.00004500,11.9
29,0.576750,0.615247,0.739948,0.00004168,24.2
30,0.568041,0.604926,0.741483,0.00003841,15.8
31,0.563234,0.602108,0.741951,0.00003519,21.8
32,0.561493,0.621732,0.737921,0.00003203,7.2
33,0.563055,0.601830,0.740634,0.00002895,9.2
