epoch,train_loss,train_auc,val_loss,val_auc,lr,elapsed_s
1,0.610578,0.723860,0.567525,0.803295,0.00003333,13.8
2,0.561695,0.778723,0.536254,0.806672,0.00006667,9.7
3,0.525053,0.807959,0.536388,0.815491,0.00010000,10.6
4,0.515955,0.812887,0.596098,0.820307,0.00009997,19.6
5,0.505418,0.825058,0.559294,0.820717,0.00009990,9.6
6,0.487161,0.835729,0.515159,0.821015,0.00009976,11.6
7,0.489995,0.834793,0.542229,0.827925,0.00009958,13.3
8,0.478897,0.844488,0.534234,0.822428,0.00009935,11.8
9,0.458413,0.855769,0.520023,0.821958,0.00009906,14.8
10,0.455414,0.858065,0.569786,0.818136,0.00009872,15.3
11,0.436704,0.869707,0.541358,0.815006,0.00009833,12.5
12,0.421270,0.877529,0.568584,0.797100,0.00009789,9.7
13,0.410903,0.885132,0.583019,0.813908,0.00009740,8.6
14,0.390929,0.898081,0.590950,0.798959,0.00009686,10.4
15,0.362767,0.912744,0.623808,0.810670,0.00009627,9.8
16,0.344554,0.922821,0.656585,0.788564,0.00009563,12.8
17,0.317470,0.935778,0.801813,0.783043,0.00009495,12.4
18,0.290939,0.946078,0.804184,0.786407,0.00009421,9.5
19,0.291495,0.947111,0.797053,0.781110,0.00009344,12.1
20,0.252371,0.959573,0.888000,0.776994,0.00009261,8.5
21,0.226329,0.967139,0.852294,0.777636,0.00009174,10.9
22,0.198510,0.973817,0.801718,0.781584,0.00009083,10.4
23,0.166803,0.981852,0.863605,0.766655,0.00008987,20.7
24,0.125720,0.989271,1.084655,0.764410,0.00008887,11.5
25,0.121451,0.990006,1.154150,0.751050,0.00008784,9.2
26,0.093028,0.993615,1.239126,0.755424,0.00008676,11.7
27,0.093977,0.993886,1.079243,0.749775,0.00008564,8.6
