epoch,train_loss,val_loss,val_auc,lr_enc,lr_probe,elapsed_s
1,0.683450,0.643720,0.677920,0.00000167,0.00003333,1550.5
2,0.651342,0.622195,0.714178,0.00000333,0.00006667,1557.6
3,0.639745,0.744717,0.761054,0.00000500,0.00010000,1566.3
4,0.595825,0.586045,0.793450,0.00000497,0.00009949,1566.4
5,0.576081,0.534413,0.808545,0.00000490,0.00009797,1565.9
6,0.552259,0.557686,0.810102,0.00000477,0.00009548,1567.4
7,0.568848,0.526901,0.812839,0.00000460,0.00009206,1566.7
8,0.535080,0.514016,0.818022,0.00000439,0.00008779,1566.4
9,0.514106,0.613368,0.820839,0.00000414,0.00008274,1567.1
10,0.509871,0.503498,0.824807,0.00000385,0.00007703,1567.9
11,0.508159,0.547512,0.825315,0.00000354,0.00007077,1565.9
12,0.514014,0.501442,0.828503,0.00000320,0.00006409,1566.6
13,0.512331,0.506714,0.829998,0.00000286,0.00005712,1567.3
14,0.469438,0.504144,0.831014,0.00000250,0.00005000,1567.7
15,0.477419,0.512330,0.827382,0.00000214,0.00004288,1567.7
16,0.472378,0.503806,0.832421,0.00000180,0.00003591,1567.4
17,0.460304,0.500628,0.830174,0.00000146,0.00002923,1567.3
18,0.449107,0.525499,0.822930,0.00000115,0.00002297,1567.7
19,0.435184,0.538648,0.824595,0.00000086,0.00001726,1566.5
20,0.427967,0.516325,0.825686,0.00000061,0.00001221,1565.2
21,0.412960,0.551010,0.823573,0.00000040,0.00000794,1564.8
