epoch,train_loss,val_loss,val_auc,lr_enc,lr_probe,elapsed_s
1,0.707451,0.000000,0.596847,0.00000167,0.00003333,1187.4
2,0.684565,0.000000,0.624604,0.00000333,0.00006667,1191.7
3,0.670261,0.000000,0.675691,0.00000500,0.00010000,1193.0
4,0.642373,0.000000,0.730626,0.00000497,0.00009949,1191.7
5,0.604874,0.000000,0.785280,0.00000490,0.00009797,1194.1
6,0.553304,0.000000,0.797924,0.00000477,0.00009548,1194.4
7,0.561787,0.000000,0.799433,0.00000460,0.00009206,1192.0
8,0.527133,0.000000,0.804093,0.00000439,0.00008779,1192.5
9,0.515176,0.000000,0.810006,0.00000414,0.00008274,1193.2
10,0.503871,0.000000,0.808537,0.00000385,0.00007703,1193.4
11,0.496534,0.000000,0.811567,0.00000354,0.00007077,1192.6
12,0.491346,0.000000,0.818596,0.00000320,0.00006409,1191.8
13,0.497527,0.000000,0.806524,0.00000286,0.00005712,1191.7
14,0.465427,0.000000,0.818380,0.00000250,0.00005000,1190.6
15,0.466178,0.000000,0.816823,0.00000214,0.00004288,1188.1
16,0.452412,0.000000,0.816299,0.00000180,0.00003591,1190.8
17,0.438615,0.000000,0.813722,0.00000146,0.00002923,1191.2
